,abstract
222,"Foragers, Farmers, and Fossil Fuels: How Human Values Evolve is a large-scale history of the world through the different modes of production humanity has adopted over time and their implications in terms of moral values. Morris argues that the predominant value systems of human societies are cultural adaptations to the organizational structures of the societies themselves, their institutions, and ultimately to their modes of production. In particular, the book contains a careful analysis of how the hunting-gathering mode of production induces egalitarian values and relatively favorable attitudes toward violent resolution of conflicts, while farming induces hierarchical values and less favorable attitudes toward violence, and in turn the fossil fuel (that is, industrial) mode of production induces egalitarian values and nonviolent attitudes. The narrative in the book is rich, diverse, and ultimately entertaining. Morris's analysis is very knowledgeable and informative: arguments and evidence are rooted in history, anthropology, archeology, and social sciences in general. Nonetheless, the analysis falls short of being convincing about the causal nature of the existing relationship between modes of production and moral value systems."
223,"This essay surveys the new monetarist approach to liquidity. Work in this literature strives for empirical and policy relevance, plus rigorous foundations. Questions include: What is liquidity? Is money essential in achieving desirable outcomes? Which objects can or should serve in this capacity? When can asset prices differ from fundamentals? What are the functions of commitment and collateral in credit markets? How does money interact with credit and intermediation? What can and should monetary policy do? The research summarized emphasizes the micro structure of frictional transactions, and studies how institutions like monetary exchange, credit arrangements, or intermediation facilitate the exchange process."
224,"We review the theoretical, computational, and empirical research on school vouchers, with a focus on the latter. Our assessment is that the evidence to date is not sufficient to warrant recommending that vouchers be adopted on a widespread basis; however, multiple positive findings support continued exploration. Specifically, the empirical research on small-scale programs does not suggest that awarding students a voucher is a systematically reliable way to improve educational outcomes, and some detrimental effects have been found. Nevertheless, in some settings, or for some subgroups or outcomes, vouchers can have a substantial positive effect on those who use them. Studies of large-scale voucher programs find student sorting as a result of their implementation, although of varying magnitude. Evidence on both small-scale and large-scale programs suggests that competition induced by vouchers leads public schools to improve. Moreover, research is making progress on understanding how vouchers may be designed to limit adverse effects from sorting, while preserving positive effects related to competition. Finally, our sense is that work originating in a single case (e.g., a given country) or in a single research approach (e.g., experimental designs) will not provide a full understanding of voucher effects; fairly wide-ranging empirical and theoretical work will be necessary to make progress."
225,"Toward understanding assortative matching, this is a self-contained introduction to research on search and matching. We first explore the nontransferable and perfectly transferable utility matching paradigms, and then a unifying imperfectly transferable utility matching model. Motivated by some unrealistic predictions of frictionless matching, we flesh out the foundational economics of search theory. We then revisit the original matching paradigms with search frictions. We finally allow informational frictions that often arise, such as in college-student sorting."
226,"In this paper, I suggest that the history of the classification system used by the American Economic Association (AEA) to list economic literature and scholars is a relevant proxy to understand the transformation of economics science throughout the twentieth century. Successive classifications were fashioned through heated discussions on the status of theoretical and empirical work, data and measurement, and proper objects of analysis. They also reflected the contradictory demands of users, including economists but also civil servants, journalists, publishers, librarians, and the military, and reflected rapidly changing institutional and technological constraints. Until the late 1940s, disagreements on the general structure of the classification dominated AEA discussions. As the subject matters, methods, and definition of economics rapidly evolved after the war, methodological debates raged on the status of theoretical and empirical work and the degree of unification of the discipline. It was therefore the ordering and content of major categories that was closely discussed during the 1956 revision. The 1966 revision, in contrast, was fueled by institutional and technical transformations rather than intellectual ones. Classifiers essentially reacted to changes in the way economists' work was evaluated, the nature and size of the literature they produced, the publishing industry, and the use of computer facilities. The final 1988-90 revision was an attempt by the Journal of Economic Literature (JEL) editors to translate the mature core fields structure of their science into a set of codes and accommodate the new types of applied work economists identified themselves with. The 1990 classification system was only incrementally transformed in the next twenty years, but that the AEA is currently considering a new revision may signal more profound changes in the structure of economics."
227,"In his Bottlenecks: A New Theory of Equal Opportunity, Joseph Fishkin claims he presents an entirely new way of thinking about equality of opportunity. The core of the new theory is the call for opportunity pluralism, which consists in enlarging the range of opportunities available to people at every stage in life. In this essay, we discuss how successful Fishkin is at shaking the way economists think about equality of opportunity. We identify two aspects of Fishkin's theory that deeply conflict with economic theories of equality of opportunity. Those aspects have to do with the way economists interpret the ethical values of respect for preferences and responsibility. We also argue that the way Fishkin suggests to look at opportunities can help economists fill gaps in the way they define well-being and social justice."
228,"Sawhill and Steinberg approach risky behavior among youth from two different angles: Steinberg argues for intervention during the adolescent years to alter behavior in ways that prioritize patience and self-regulation, while Sawhill advocates interventions that mitigate the negative effects of risky behavior. Both argue that disadvantaged youth suffer worse consequences as a result of risky behavior and therefore stand to gain the most from interventions. While the authors develop strong arguments for adolescent interventions, the existing evidence on their effectiveness is less compelling. To reconcile the promise with the reality, I argue that growing up in environments of significant uncertainty reduces the returns to forward-thinking behavior in the daily lives of disadvantaged youths. Interventions to develop adolescent decision-making skills so as to reduce risky behavior will not be effective if they are inconsistent with the incentives generated by a local environment that is often characterized by uncertainty."
229,"Climbing Mount Laurel, authored by a group of sociologists led by Douglas S. Massey, is about the efforts by Mount Laurel Township, NJ, residents to have affordable housing built in their community. From when it was first proposed in 1969 and until the first units were completed in 2000, the project faced extraordinary political opposition, caused a number of landmark court decisions, and motivated affordable-housing legislation by other US states. This review evaluates, from an economics perspective, the lessons learned, as argued by Massey et al., about the impact of affordable housing within the host community and on surrounding communities."
230,"This essay discusses the structure and governance of the Federal Reserve System in light of the many changes in its activities over the past thirty years. Based on this analysis, it argues in favor of four specific reforms: clarification of Congressional expectations for the system; enhanced Federal Reserve Board of Governors transparency with respect to its oversight of the Reserve Banks; stripping monetary-policy votes from the President of the Federal Reserve Bank of New York and the Boards of Directors of the Reserve Banks; and the initiation of a public conversation about redesigning the Federal Reserve as a unified public entity."
231,"The two books being reviewed are concerned with the importance of slavery in the antebellum US South for the economic development of the Northern states. One (Schermerhorn) deals primarily with Southern financial arrangements facilitating the sales of slaves and cotton. The other (Baptist) presents a broader picture of masters' treatment of slaves, as well as how the incomes of slaveowners spurred the demand for Northern industrial production. The review argues that both books overstate the importance of slavery and cotton production for US economic growth."
232,"We review economics research regarding the effect of police, punishments, and work on crime, with a particular focus on papers from the last twenty years. Evidence in favor of deterrence effects is mixed. While there is considerable evidence that crime is responsive to police and to the existence of attractive legitimate labor-market opportunities, there is far less evidence that crime responds to the severity of criminal sanctions. We discuss fruitful directions for future work and implications for public policy."
233,"We survey the literature on the economic consequences of the structure of social networks. We develop a taxonomy of ""macro"" and ""micro"" characteristics of social-interaction networks and discuss both the theoretical and empirical findings concerning the role of those characteristics in determining learning, diffusion, decisions, and resulting behaviors. We also discuss the challenges of accounting for the endogeneity of networks in assessing the relationship between the patterns of interactions and behaviors."
234,"We commonly think of information as a means to an end. However, a growing theoretical and experimental literature suggests that information may directly enter the agent's utility function. This can create an incentive to avoid information, even when it is useful, free, and independent of strategic considerations. We review research documenting the occurrence of information avoidance, as well as theoretical and empirical research on reasons why people avoid information, drawing from economics, psychology, and other disciplines. The review concludes with a discussion of some of the diverse (and often costly) individual and societal consequences of information avoidance."
235,The potential of Internet-enabled distance learning to transform higher education focuses attention on exactly what residential higher-education institutions do for and to their students. Two recent books marshal detailed quantitative and subjective data on individual student outcomes to document the effects of two institutions and how these outcomes might be improved. Paying for the Party concludes that a Midwestern state university reinforces existing economic inequalities rather than fostering upward mobility. How College Works finds that a northeastern liberal-arts college generally serves its students well and suggests low-cost improvements. These claims are evaluated.
236,"This essay reviews new histories of the role of game theory and rational decision making in shaping the social sciences, economics among them, in the postwar period. The recent books The World the Game Theorists Made by Paul Erickson and How Reason Almost Lost Its Mind: The Strange Career of Cold War Rationality by Paul Erickson, Judy Klein, Lorraine Daston, Rebecca Lemov, Thomas Sturm, and Michael Gordin raise a number of complex historical questions about the interconnections among game theory, utility theory, decision theory, optimization theory, information theory, and theories of rational choice. Moreover, the contingencies of time, place, and person call into question the usefulness of economists' linear narratives about the autonomous and progressive development of modern economics. The essay finally reflects on the challenges that these issues present for historians of recent economics."
237,"This essay reviews Dani Rodrik's superb book Economics Rules and argues that it can serve as an ideal platform for discussing what economists can and should accomplish. The essay comments on some of the major issues in contemporary economics examined in the book: whether economics is a science, the meaning of economic models, the nature of ""facts"" in economics, and others. It also touches on issues that the book overlooks, such as the sociology of the profession, the teaching curriculum in economics, and the dismal situation of publishing in economics."
238,"Lars Peter Hansen and Thomas J. Sargent's book, Recursive Models of Dynamic Linear Economies, exposits, extends, and applies methods for solution and analysis of dynamic stochastic linear quadratic models. The book, which can be used as a monograph or in a graduate course, integrates theory, econometrics, and computation. This essay provides a summary and offers some mild complaints about material not included in what is already a remarkably comprehensive book."
239,"Capitalism and law go together in Geoffrey M. Hodgson's comprehensive analysis of the intellectual history and practical development of the capitalist system in Western Europe and North America. Given the breadth and depth of Professor Hodgson's reading in political economy and his reflections on its implications for the present and future of global capitalism, his book deserves to be widely read. Labeling his approach legal institutionalism, he argues that a legal system that supports capitalism and the market is necessary but not sufficient to sustain a fair and efficient economic system. The state makes efficient markets possible, but it must also deal with the inevitable tensions and the fundamental asymmetry between labor and capital. Tensions arise because labor cannot be used as collateral for the loans that are needed for large-scale capitalist enterprise. Hodgson has not developed the political implications of his conclusions in any detail, but his work ought to inspire research that explores the implications of his arguments for ongoing projects of nation building."
240,"Understanding the nature of capitalism has been a central theme of economics. The collapse of the Eastern Bloc and the global financial crisis spurred the reemergence of the political economy as a new frontier and the revival of interest in the nature of capitalism. Janos Kornai's book Dynamism, Rivalry, and the Surplus Economy: Two Essays on the Nature of Capitalism fills an important intellectual gap in understanding the dynamic nature of capitalism by comparing it with its mirror image, socialism. To further develop the themes contained in the book, serious challenges are posed theoretically and empirically, as well as in subjects, such as hybrid capitalism."
241,"The WTO has delivered policy outcomes that are very different from those likely to emerge out of the recent wave of preferential trade agreements (PTAs). Should economists see this as an efficient institutional hand-off, where the WTO has carried trade liberalization as far as it can manage, and is now passing the baton to PTAs to finish the job? We survey a growing economics literature on international trade agreements and argue on this basis that the WTO is not passé. Rather, and subject to some caveats, our survey of research to date suggests that the WTO warrants strong support while a more cautious view of PTAs seems appropriate."
242,"This article studies traditional and modern theories of executive compensation, bringing them together under a simple unifying framework accessible to the general-interest reader. We analyze assignment models of the level of pay, and static and dynamic moral-hazard models of incentives, and compare their predictions to empirical findings. We make two broad points. First, traditional theories find it difficult to explain the data, suggesting that compensation results from ""rent extraction"" by CEOs. However, more modern ""shareholder value"" theories, that arguably better capture the CEO setting, do deliver predictions consistent with observed practices, suggesting that these practices need not be inefficient. Second, seemingly innocuous features of the modeling setup, often made for tractability or convenience, can lead to significant differences in the model's implications and conclusions on the efficiency of observed practices. We close by highlighting apparent inefficiencies in executive compensation and additional directions for future research."
243,"During the last third of the twentieth century, political philosophers actively debated about the content of distributive justice; the ruling ethical view of utilitarianism was challenged by various versions of equality of opportunities. Economists formulated several ways of modeling these ideas, focusing upon how individuals are placed with respect to opportunities for achieving various outcomes, and what compensation is due to individuals with truncated opportunities. After presenting a review of the main philosophical ideas (section 2), we turn to economic models (sections 3 and 4). We propose a reformulation of the definition of economic development, replacing the utilitarian measure of GDP per capita with a measure of the degree to which opportunities for income acquisition in a nation have been equalized. Finally, we discuss issues that the econometrician faces in measuring inequality of opportunity, briefly review the empirical literature (section 6), and conclude (section 7)."
244,"We review Immigration Economics by George J. Borjas, published in 2014 by Harvard University Press. The book is written as a graduate-level textbook, and summarizes and updates many of Borjas's important contributions to the field over the past thirty years. A key message of the book is that immigration poses significant costs to many members of the host-country labor market. Though the theoretical and econometric approaches presented in the book will be very useful for students and specialists in the field, we argue that the book presents a one-sided view of immigration, with little or no attention to the growing body of work that offers a more nuanced picture of how immigrants fit into the host-country market and affect native workers."
245,The Great Recession and the financial crisis of 2007-09 prompted calls for fundamental reforms of economic theory. The role of theory in economics and in recent economic events is considered in light of two recent books: the sociologist Richard Swedberg's The Art of Social Theory and the economist André Orléan's The Empire of Value: A New Foundation for Economics.
246,"Mukesh Eswaran's Why Gender Matters in Economics presents a generally well-researched review of the literature on women and economics, and admirably attempts take a global perspective. Eswaran's analysis is compromised, however, by an unreflective use of perspectives and methods that themselves, when seen in a broader perspective, reflect gendered biases. With particular reference to Eswaran's discussions of gender differences in preferences, the preferential treatment of groups, and work/family issues, this essay outlines how these biases arise, and how economic analysis must change if it is to become more rigorous."
247,"This is a review essay based on a critical assessment of The Ant Trap: Rebuilding the Foundations of the Social Sciences by Brian Epstein. Epstein argues that models in the social sciences are inadequate because they are based on a false ontology of methodological individualism, and proposes a new model of social ontology. I examine this model and point to flaws in it. More generally, I argue against Epstein's methodological approach, which treats social ontology as prior to social scientific modeling and as certifying the ""building blocks"" that modelers then use. I argue that modelers can legitimately shape the building blocks for their own models."
248,"The recent financial crisis has prompted much new research on the interconnectedness of the modern financial system and the extent to which it contributes to systemic fragility. Network connections diversify firms' risk exposures, but they also create channels through which shocks can spread by contagion. We review the extensive literature on this issue, with the focus on how network structure interacts with other key variables such as leverage, size, common exposures, and short-term funding. We discuss various metrics that have been proposed for evaluating the susceptibility of the system to contagion and suggest directions for future research."
249,"Many questions in economics can be fruitfully analyzed in the framework of matching models. Until recently, empirical work has lagged far behind theory in this area. This review reports on recent developments that have considerably expanded the range of matching models that can be taken to the data. A leading theme is that in such two-sided markets, knowing the observable characteristics of partners alone is not enough to credibly identify the relevant parameters. A combination of richer data and robust, theory-driven restrictions is required. We illustrate this on leading applications."
250,"This essay tries to bring out some of the complexities that are overlooked in the usual treatment of the state in the institutional economics literature and supplement the latter with a discussion of some alternative approaches to looking at the possible developmental role of the state. It refers to a broader range of development goals (including the structural transformation of the economy) and focuses on problems like the resolution of coordination failures and collective-action problems, the conflicting issues of commitment and accountability and the need for balancing the trade-offs they generate, some ingredients of state capacity and political coalition building usually missed in the literature, the possible importance of rent sharing in a political equilibrium, the advantages and problems of political centralization and decentralization, and the multidimensionality of state functions that may not be addressed by markets or private firms."
251,"The sixteen essays edited and synthesized by Emmanuel Akyeampong, Robert H. Bates, Nathan Nunn, and James A. Robinson contribute significantly to our understanding of the following questions: (1) When did Africa become poor? (2) Why did Africa become poor? (3) Why has Africa remained poor? Although these questions are impossible to answer in a definitive way, the partial explanations offered in this book are insightful and thought provoking and are summarized in this article. However, they also rest primarily on economic and political arguments. The importance of geography, which is mostly not explored in these essays, is reviewed in the final section of this article."
252,"In the eighteenth century, the Bank of England revolutionized money through its large-scale introduction of circulating banknotes. The consequences of this revolution are felt even today. In Making Money: Coin, Currency, and the Coming of Capitalism, Christine Desan argues that this legendary transformation was not a one-off event, but a culmination of long-standing trends within the English monetary tradition. This review concedes Desan's point, but calls attention to other factors that were equally critical to the Bank's success: exceptional business and political acumen, active suppression of competitors, and lots of good luck. The importance of these factors is evidenced by the failure of attempted copycat institutions in other countries."
253,"This review essay reviews the volume edited by Owen Humpage, Current Federal Reserve Policy under the Lens of Economic History: Essays to Commemorate the Federal Reserve System’s Centennial, and provides a broader perspective on central-banking issues. The papers in the Humpage volume address various aspects of central banking history, money, and private banking, with a focus on putting recent Fed policies in perspective. The topics covered include the role of the central bank as lender of last resort, the effects of open-market operations versus central-bank lending, central-bank independence, the political economy of monetary unions, financial crises, the effects of unconventional monetary policies, commodity monies, and the Canadian financial system as a natural experiment."
254,"Political Order and Inequality: Their Foundations and Their Consequences argues that geography, technology, and wars determined the formation of a ruling class, inequality, and institutional development, rather than the other way around. Institutions are not a cause but a consequence. This relatively short book covers an enormous amount of material. I have sympathy for the basic idea of the book, but in some parts I would have liked to see more detailed evidence, especially on the more recent history and the Industrial Revolution."
255,"The economics of religion is a relatively new field of research in economics. This survey serves two purposes--it is backward-looking in that it traces the historical and sociological origins of this field, and it is forward-looking in that it examines the insights and research themes that are offered by economists to investigate religion globally in the modern world. Several factors have influenced the economics of religion: (1) new developments in theoretical models including spatial models of religious markets and evolutionary models of religious traits; (2) empirical work that addresses innovatively econometric identification in examining causal influences on religious behavior; (3) new research in the economic history of religion that considers religion as an independent, rather than a dependent, variable; and (4) more studies of religion outside the Western world. Based on these developments, this paper discusses four themes--first, secularization, pluralism, regulation, and economic growth; second, religious markets, club goods, differentiated products, and networks; third, identification including secular competition and charitable giving; and fourth, conflict and cooperation in developing societies. In reviewing this paradoxically ancient yet burgeoning field, this paper puts forward unanswered questions for scholars of the economics of religion to reflect upon in years to come."
256,"This article summarizes and draws connections among diverse streams of theoretical and empirical research on the economics of privacy. We focus on the economic value and consequences of protecting and disclosing personal information, and on consumers' understanding and decisions regarding the trade-offs associated with the privacy and the sharing of personal data. We highlight how the economic analysis of privacy evolved over time, as advancements in information technology raised increasingly nuanced and complex issues. We find and highlight three themes that connect diverse insights from the literature. First, characterizing a single unifying economic theory of privacy is hard, because privacy issues of economic relevance arise in widely diverse contexts. Second, there are theoretical and empirical situations where the protection of privacy can both enhance and detract from individual and societal welfare. Third, in digital economies, consumers' ability to make informed decisions about their privacy is severely hindered because consumers are often in a position of imperfect or asymmetric information regarding when their data is collected, for what purposes, and with what consequences. We conclude the article by highlighting some of the ongoing issues in the privacy debate of interest to economists."
257,"James J. Heckman, John Eric Humphries, and Tim Kautz make a powerful case for noncognitive skills--or what they conceptualize as character--as an explanation of educational achievement and other important outcomes in life. They do so while exposing the myth of the GED, arguing that the GED harms its intended beneficiaries by failing to instill the character skills that predict adult success. Childhood interventions to build personal character, especially self-control, are emphasized. The Myth of Achievement Tests is a major contribution, but I integrate relevant research on crime and social control across the life course that motivates a more dynamic conceptualization of character. I also review evidence on the environment as a source of both cognitive and noncognitive skills, including exposure to concentrated deprivation, violence, and lead toxicity. Moreover, I review evidence suggesting that social reactions to character shape life chances in ways not reducible to individual propensities, such as changes in criminal-justice policy that created large cohort differentials in incarceration for the same underlying behaviors. Social context and the character of American society itself are thus central to fostering individual character--not just skills but the desire to conform. It follows that self-control and social control need to be better unified theoretically and in designing interventions."
258,"British Economic Growth, 1270-1870 makes a big leap forward in our understanding of the long-run performance of what became the leading nineteenth-century economy and the workshop of the world. It does so by implementing a giant quantitative enterprise, one that will make it the standard data source for studying the evolution of the British economy for decades to come."
259,"Peter J. Richerson and Morten H. Christiansen have assembled a compelling picture of the evolution of societies, technology, language, and religion--with culture at the epicenter. The book is a must-have for economists and any other social scientists interested in the evolution of behavior. Using the book as a starting point, this article sums up what cultural evolution can teach us about these four major aspects of human behavior. Each topic is also linked to the relevant empirical research in economics. Directions for future research integrating cultural evolution into an economic framework are also explored."
260,"In their recent book, Colander and Kupers (2014) argue that viewing the economy as a complex adaptive system should change the way in which we make economic policy. This would necessitate a paradigm shift. Economics has, over time, tried to produce a coherent model to underpin the dominant laissez-faire liberal approach. But we have never proved, in that model, that left to their own devices, the participants in an economy will self-organize into a satisfactory state. This is an assumption. Complex interactive systems with direct interaction between heterogeneous agents may show no tendency to self-equilibrate and will undergo endogenous crises. Economists should concentrate on the emergence of certain patterns. Colander and Kupers suggest that we may be able to nudge the system into ""good"" basins of attraction. A more radical view is that there are no fixed basins of attraction; these change with the evolution of the system and it is illusory to believe that we can choose good basins. We may be able to recognize and influence the emergence of certain states of the economy, but we are far from Leon Walras's dream of economics as a science like astrophysics."
261,"GDP, the most fundamental concept of aggregate economics, is often misunderstood and misused. In a brief book, Diane Coyle attempts to demystify and clarify the concept by providing what she calls ""an affectionate history."" The product is a lucid and clear presentation that however must come with a caution sign. The story is often incomplete, and what it does contain is not always accurate. Among the salient and controversial topics discussed are the adequacy of GDP for the twenty-first century, the deficiencies of GDP as a measure of welfare, and the strange way in which banking services are calculated."
262,"This paper reviews the literature on affirmative action in undergraduate education and law schools, focusing especially on the trade-off between institutional quality and the fit between a school and a student. We discuss the conditions under which affirmative action for underrepresented minorities (URM) could help or harm their educational outcomes. We provide descriptive evidence on the extent of affirmative action in law schools, as well as a critical review of the contentious literature on how affirmative action affects URM law-school student performance. Our review then discusses affirmative action in undergraduate admissions, focusing on the effects such admissions preferences have on college quality, graduation rates, college major, and earnings. We conclude by examining the evidence on ""percent plans"" as a replacement for affirmative action. ( JEL I23, I26, I28, J15, J31, J44, K10)"
263,"This article surveys the literature on regulatory arbitrage in four settings: labor regulation, environmental protection, corporate governance, and banking and finance. For a regulatory race to occur, firms must migrate across state or country borders in response to geographic differences in the costs and benefits of regulation, and governments must shape their regulatory policies with the aim of affecting those migration flows. We find that both these conditions hold only in rare circumstances. Instead, the much more common outcome is for political pressures within jurisdictions to produce a heterogeneous pattern resembling Tiebout sorting. Such regulatory convergence as occurs is more often the result of deliberate harmonization or imitation. ( JEL G18, G28, G38, H73, J08, L51, Q58)"
264,"Many migrations are temporary -- a fact that has often been ignored in the economic literature on migration. Such omission may be serious in that expected migration temporariness can impart a distinct dynamic element to immigrants' economic behavior, generating possible consequences for nonmigrants in both home and host countries. In this paper, we provide a thorough examination of the various aspects of temporary migrations that matter for the analysis of economic phenomena. We demonstrate the extent of temporary migrations in population movements. We show how temporariness can affect the various economic choices and how better data have improved both the measurement of nonpermanent migrations and the analyses of various aspects of migrant behavior. We propose a general theoretical framework for modeling temporary migration decisions, based on which we outline the various motives for temporariness while simultaneously reviewing related literature and available data sources. We discuss the possible consequences of migration temporariness for nonmigrants in both home and host countries. (JEL F22, F24, J11, J61, K37, O15)"
265,"Organizations fail due to incentive problems (agents do not want to act in the organization's interests) and bounded rationality problems (agents do not have the necessary information to do so). This survey uses recent advances in organizational economics to illuminate organizational failures along these two dimensions. We combine reviews of the literature with simple models and case discussions. Specifically, we consider failures related to short-termism and the allocation of authority, both of which are instances of ""multitasking problems""; communication failures in the presence of both soft and hard information due to incentive misalignments; resistance to change due to vested interests and rigid cultures; and failures related to the allocation of talent and miscommunication due to bounded rationality. We find that the organizational economics literature provides parsimonious explanations for a large range of economically significant failures. ( JEL D21, D23, D82, D83, M10)"
266,"June Carbone and Naomi Cahn argue that growing earnings inequality and the increased educational attainment of women, relative to men, have led to declining marriage rates for less-educated women and an increase in positive assortative matching since the 1970s. These trends have negatively affected the welfare of children, as they increase the proportion of poor, single-female-headed households. Using data on marriage markets defined by state, race and time, and the Choo-Siow marriage matching function, this review provides a quantitative assessment of these claims. We show that changes in earnings inequality had a qualitatively consistent but modest quantitative impact on marriage rates and positive assortative matching. Neither changes in the wage distributions nor educational attainments can explain the large decline in marriage rates over this period. (JEL C78, D63, J12, J15, J16, J31)"
267,"Fragile by Design by Charles W. Calomiris and Stephen H. Haber introduces a framework for understanding financial crises and credit abundance with politics at its center. Using the historical experiences of five nations to illustrate, the authors propose that democracies such as the United States and Canada can have stable banks and ample credit so long as populist forces do not dominate the policy agenda, and that strong autocratic states such as Mexico can also achieve stability at the cost of restricting credit. Weak autocracies, such as Brazil over much of its history, often require inflationary finance and suffer from the banking fragility that comes with it. The authors identify populist ideologies and related policy decisions (such as unit banking, deposit insurance, and the Community Reinvestment Act) as underlying causes of banking instability in the United States as typified by the recent subprime crisis. Canada, in contrast, by holding populist forces in check through calculated political choices, remains crisis-free. (JEL D72, E44, G01, G21, N20, O16, O17)"
268,"The role of science and technology in the First Industrial Revolution is still contested. Some scholars, focusing on the textiles sector, argue that skilled and talented artisans with no scientific training were mainly responsible for the key inventions; others, with steam power in mind, hold that the links between science and the crucial inventions of the period were fundamental. Margaret Jacob has been a leading contributor to the debate for nearly four decades. The publication of her The First Knowledge Economy offers an opportunity to review the issues. ( JEL J24, L26, N13, N73, O31, O33)"
269,"We discuss the economics literature relevant to the design of centralized two-sided market mechanisms for environments in which both buyers and sellers have private information. The existing literature and the history of spectrum auctions, including the incentive auction currently being designed by the FCC, can be employed to analyze such mechanisms. We compare the revenue-efficiency trade-off in an environment with private information on one side of the market versus the trade-off with private information on both sides of the market; we provide an impossibility theorem for the efficient allocation of goods using a deficit-free mechanism when there is private information on both sides of the market; we discuss practical deficit-free mechanisms for various environments with two-sided private information; and we provide a synthesis to guide market design efforts and related research going forward. (JEL D44, D47, D82, H82)"
270,"A growing body of empirical work measuring different types of cultural traits has shown that culture matters for a variety of economic outcomes. This paper focuses on one specific aspect of the relevance of culture: its relationship to institutions. We review work with a theoretical, empirical, and historical bent to assess the presence of a two-way causal effect between culture and institutions. (JEL D02, D72, I32, J12, Z13)"
271,"The role of culture in the creation and persistence of racial and ethnic inequalities has been the focus of considerable controversy in the social sciences. In The Triple Package: How Three Unlikely Traits Explain the Rise and Fall of Cultural Groups in America, a new book intended for a popular audience, ""tiger mom"" Amy Chua and Jed Rubenfeld argue that relatively successful ethnic, religious, and national origin groups in the United States possess a common set of culturally determined traits that drive this success: a sense of group superiority, individual insecurity, and good impulse control. The book is an unscholarly romp through fields of ethnic stereotypes and immigrant anxiety that relies on anecdote, rather than data, and that ignores the selectivity of immigrant flows. In their insistence on the need for the whole triple package, however, the authors raise issues relevant to current research on noncognitive skills—that there are important trait-environment interactions in the determinants of economic success, and that the source and impact of aspirations deserves greater attention. (JEL D63, J15, J24, Z12, Z13)"
272,"This essay revisits the argument that the removal of worldwide immigration restrictions would induce a very large increase in world GDP. The recent books Exodus: How Migration is Changing Our World by Paul Collier and The Price of Rights: Regulating International Labor Migration by Martin Ruhs raise a number of questions about the underlying economic model. The essay shows how these concerns can greatly attenuate the predicted gains. (JEL F22, F66, J11, J18, J61)"
273,"Timothy Geithner's memoir of the financial crisis of 2007-08—Stress Test: Reflections on Financial Crises—is an important historical document offering details of how policies were formed and implemented during the crisis, showing the political constraints, and offering lessons for future crises. Walter Bagehot's classic rule for fighting crises—that the central bank should lend against good collateral at a high rate—is passive and incomplete. Geithner argues for the use of overwhelming force to reestablish confidence. Also, although the Federal Reserve's new crisis lending programs needed to be anonymous so as not to reveal weak banks' identities—""stigma""—the stress tests during the crisis did reveal information that may have been useful in reestablishing confidence. (JEL B31, E44, E63, G01, G21, G28)"
274,"This review essay of the two-volume Cambridge History of Capitalism (2014), edited by Larry Neal and Jeffrey G. Williamson, is divided into three parts. First, I describe three chapters from the second volume that I recommend for all economists to add depth to their understanding of the world economy today. Robert C. Allen analyzes the world distribution of income; Randall Morck and Bernard Yeung discuss the history of business groups; and Peter Lindert surveys private and public programs to help the poor. In each case, they analyze historical backgrounds that illuminate current issues. Second, I criticize the definition of capitalism used in these volumes as too expansive to be useful. I argue that this definition mars the essays in first volume by stimulating a fruitless search for capitalism in the millennium before the Industrial Revolution. Third, I describe the essays in this reference work starting from the most recent and ending with those about antiquity. (JEL N00, P10)"
275,"I discuss the health transition in the United States, bringing new data to bear on health indicators and investigating the changing relationship between health, income, and the environment. I argue that scientific advances played an outsize role and that health improvements were largest among the poor. Health improvements were not a precondition for modern economic growth. The gains to health are largest when the economy has moved from ""brawn"" to ""brains"" because this is when the wage returns to education are high, leading the healthy to obtain more education. More education may improve use of health knowledge, producing a virtuous cycle. (JEL H51, I10, J13, N31, N32)"
276,"Important progress has been made in economists' understanding of the Beveridge curve, from its measurement to its expression in canonical labor market models. Yet enduring puzzles remain. Chief among these are the empirical role of vacancies in the recruitment process; the amplitude, comovement, and persistence of cyclical unemployment-vacancy dynamics; and the sources of lateral shifts in the Beveridge curve. The synthesis of these themes identifies several priorities for ongoing research, including the role of entry costs into vacancy creation in shaping Beveridge dynamics; the cyclicality of search intensity, both off and on the job, and its relation to participation and job-to-job transitions; the theory and measurement of mismatch; and the sources of hysteresis in unemployment flows. (JEL E24, J63, J64)"
