,Unnamed: 0,abstract
451,451,"This paper studies entry and capacity decisions by dialysis providers in the United States. We estimate a structural model where providers make continuous strategic choices of capacity based on their private information about own costs and knowledge of the distribution of competitors? private information. We evaluate the impact on the market structure and providers? profits under counterfactual regulatory policies that increase the costs or reduce the payment per unit of capacity. We find that these policies reduce the market capacity as measured by the number of dialysis stations. However, the downward-sloping reaction curve shields some providers from negative profit shocks in certain markets. The paper also has a methodological contribution in that it proposes new estimators for Bayesian games with continuous actions."
452,452,"Regulations curbing the entry of large retail stores have been introduced in many countries to protect independent retailers. Analyzing a planning reform launched in the United Kingdom in the 1990s, I show that independent retailers were actually harmed by the creation of entry barriers against large stores. This is because the entry barriers created the incentive for large retail chains to invest in smaller and more centrally located formats, which competed more directly with independents and accelerated their decline. Overall, these findings suggest that restricting the entry of large stores may exert negative competitive effects on independent retailers."
453,453,"We investigate the success of legislation aimed at increasing competition at highly concentrated U.S. airports, mainly by forcing these airports to increase the availability of scarce facilities. We use a multidimensional regression-discontinuity approach to exploit a sharp discontinuity in the law?s implementation and identify its effects. We find that fares decrease by 13.4% (20.2%) in markets with one (both) end point(s) covered. Approximately half of the decline is driven by the entry of low-cost carriers. We find little evidence that the fare declines were accompanied by a diminished quality of service, and passenger volumes increased, which suggests the legislation improved consumer welfare."
454,454,"We show that very large firms shape country export patterns. Among 32 countries, the top firm on average accounts for 14% of a country?s total (nonoil) exports, and the top five firms make up 30%. These export superstars are also important in the sectoral distribution of exports. Variation in exports from the top firm in a country explains about one-third of the variation in sectoral exports relative to income across countries, and variation in exports from the top five firms explains nearly half. Revealed comparative advantage in a sector can be created by a single firm."
455,455,"This paper presents theory and evidence from disaggregated Chinese data that tariff reductions induce a country?s producers to upgrade the quality of their exports. We first document stylized facts regarding the effect of trade liberalization on export prices. Next, we develop an analytic framework that relates a firm?s choice of quality to its access to imported intermediates. In the model, a reduction in import tariffs induces a firm to increase export quality and raise its export price in industries where the scope for quality differentiation is large and lower its export price in industries where the scope is small. The predictions are consistent with the stylized facts and are highly robust econometrically."
456,456,"Climate policy has favored costly measures that implicitly or explicitly subsidize lowcarbon fuels. We simulate four transportation sector policies: cap and trade (CAT), ethanol subsidies, a renewable fuel standard (RFS), and a lowcarbon fuel standard. Our simulations confirm that alternatives to CAT are 2.5 to 4 times more costly but are amenable to adoption due to right-skewed distributions of gains. We analyze voting on the Waxman-Markey (WM) CAT bill. Conditional on a district?s CAT gains, a district?s RFS gains are negatively correlated with the likelihood of voting for WM. Our analysis supports campaign contributions as a partial mechanism."
457,457,"We propose a novel selectivity correction procedure to deal with survey attrition in treatment effect models, at the crossroads of the Heckit model and the bounding approach of Lee (2009). As a substitute for the instrument needed in sample selectivity correction models, we use information on the number of prior calls made to each individual before obtaining a response to the survey. We obtain sharp bounds to the average treatment effect on the common support of responding individuals. Because the number of prior calls brings information, we can obtain tighter bounds than in other nonparametric methods."
458,458,"Regression discontinuity models are commonly used to nonparametrically identify and estimate a local average treatment effect (LATE).We show that the derivative of the treatment effect with respect to the running variable at the cutoff, referred to as the treatment effect derivative (TED), is nonparametrically identified, easily estimated, and has implications for testing external validity and extrapolating the estimated LATE away from the cutoff. Given a local policy invariance assumption, we further show this TED equals the change in the treatment effect that would result from a marginal change in the threshold, which we call the marginal threshold treatment effect (MTTE). We apply these results to Goodman (2008), who estimates the effect of a scholarship program on college choice. MTTE in this case identifies how this treatment effect would change if the test score threshold to qualify for a scholarship were changed, even though no such change in threshold is actually observed."
459,459,"We exploit daylight saving time (DST) as an exogenous shock to daylight, using both the discontinuous nature of the policy and the 2007 extension of DST, to consider the impact of light on criminal activity. Regression discontinuity estimates show a 7% decrease in robberies following the shift to DST. As expected, effects are largest during the hours directly affected by the shift in daylight. We discuss our findings within the context of criminal decision making and labor supply, and estimate that the 2007 DST extension resulted in $59 million in annual social cost savings from avoided robberies."
460,460,"Many economists believe knowledge production generates positive spillovers among knowledge producers. The available evidence, however, is mixed. We argue that spillovers can exist along three dimensions: idea, geographic, and collaboration space. To isolate the key channel through which knowledge spills over, we use a unique data set to examine the impact of a large post-1992 exodus of Soviet mathematicians on the output of the nonémigrés. Although the data reveal strong competitive effects in idea space, there is evidence of knowledge spillovers in collaboration space, when high-quality researchers directly engage with other researchers in the joint production of new knowledge."
461,461,"To what extent does ?false science? affect the rate and direction of scientific change? We examine the impact of over 1,100 scientific retractions on the citation trajectories of articles that are related to retracted papers in intellectual space but were published prior to the retraction event. Following retraction and relative to carefully selected controls, related articles experience a lasting 5% to 10% decline in the rate of citations received. This penalty is more severe when the retracted article involves fraud or misconduct rather than honest mistakes. In addition, we find that the arrival rate of new articles and funding flows into these fields decrease after a retraction."
462,462,This study makes use of detailed student-level data from eight cohorts of first-year students at Northwestern University to investigate the relative effects of tenure track/tenured versus contingent faculty on student learning. We focus on classes taken during a student?s first term at Northwestern and employ an identification strategy in which we control for both student-level fixed effects and next-class-taken fixed effects to measure the degree to which contingent faculty contribute more or less to lasting student learning than do other faculty. We find consistent evidence that students learn relatively more from contingent faculty in their firstterm courses. This result is driven by the fact that the bottom quarter of tenure track/tenured faculty (as indicted by our measure of teaching effectiveness) has lower ?value added? than their contingent counterparts. Differences between contingent and tenure track/tenured faculty are present across a wide variety of subject areas and are particularly pronounced for Northwestern?s averages and less-qualified students.
463,463,"Using data from employer-provided health insurance and Medicare Part D, we investigate whether health care utilization responds to the dynamic incentives created by the nonlinear nature of health insurance contracts. We exploit the fact that because annual coverage usually resets every January, individuals who join a plan later in the year face the same initial (?spot?) price of health care but a higher expected end-of-year (?future?) price. We find a statistically significant response of initial utilization to the future price, rejecting the null that individuals respond only to the spot price. We discuss implications for analysis of moral hazard in health insurance."
464,464,"This paper empirically tests the association between genetically determined resistance to infectious disease and cross-country health differences. A country-level measure of genetic diversity for the system of genes associated with the recognition and disposal of foreign pathogens is constructed. Genetic diversity within this system has been shown to reduce the virulence and prevalence of infectious diseases and is hypothesized to have been naturally selected from historical exposure to infectious pathogens. Base estimation shows a statistically strong, robust, and positive relationship between this constructed measure and country-level health outcomes in times prior to, but not after, the international epidemiological transition."
465,465,"We use georeferenced information on the location of violent events in sub-Saharan African countries and provide evidence that external income shocks are important determinants of the intensity and geography of civil conflicts. More precisely, we find that (a) the incidence, intensity, and onset of conflicts are generally negatively and significantly correlated with income variations at the local level; (b) this relationship is significantly weaker for the most remote locations; and (c) at the country level, these shocks have an insignificant impact on the overall probability of conflict outbreak but do affect the probability that conflicts start in the most opened regions."
466,466,"Trade costs are often additive. Well-known examples are quotas, per unit tariffs, and, in part, transportation costs. In spite of this, we have no broad and systematic evidence of the magnitude of these costs. In this paper, we develop a new empirical framework for estimating additive trade costs from standard firm-level trade data. Our results suggest that additive barriers are on average 14%, expressed relative to the median price. The point estimates are strongly correlated with common proxies for trade costs. Using our microestimates, we show that an additive import tariff reduces welfare and trade by more than an equal-yield multiplicative tariff."
467,467,"Previous studies have demonstrated that a multitude of options can lead to choice overload, reducing decision quality. Through controlled experiments, we examine sequential choice architectures that enable the choice set to remain large while potentially reducing the effect of choice overload. A specific tournament-style architecture achieves this goal. An alternate architecture in which subjects compare each subset of options to the most preferred option encountered thus far fails to improve performance due to the status quo bias. Subject preferences over different choice architectures are negatively correlated with performance, suggesting that providing choice over architectures might reduce the quality of decisions."
468,468,"This paper proposes a novel matching estimator where neighbors used and weights are endogenously determined by optimizing a covariate balancing criterion. The estimator is based on finding, for each unit that needs to be matched, sets of observations such that a convex combination of them has the same covariate values as the unit needing matching or with minimized distance between them. We implement the proposed estimator with data from the National Supported Work Demonstration, finding outstanding performance in terms of covariate balance. Monte Carlo evidence shows that our estimator performs well in designs previously used in the literature."
469,469,"A leading explanation in the economic literature is that monetary policy has real effects on the economy because firms incur a cost when changing prices. Using a unique database of cost and retail price changes, we find that variation in menu costs results in up to 13.3% fewer price increases. We confirm that these effects are allocative and have a persistent impact on both prices and unit sales. We provide evidence that the menu cost channel operates only when cost increases are small in magnitude, which is consistent with theory and provides the first empirical evidence of boundary conditions."
470,470,"We measure price-level uncertainty and instability in the United States over the period 1850 to 2012. Major outbreaks of price-level uncertainty and instability occur both before and after World War II, alternating with three price-level moderations: one near the turn of the twentieth century, another under Bretton Woods, and a third in the 1990s. There is no evidence that the price level was systematically more stable or less uncertain before or after World War II. Moderations sometimes involved links to gold, but the experience of the 1990s proves that a well-managed fiat regime can achieve the same outcome."
471,471,"We combine firm-level panel data on U.S. foreign affiliate activity with detailed measures of U.S. trade policy to study the relationship between offshoring and preferential market access. Consistent with theory, we find that trade preferences and offshoring activity are positively and significantly correlated. Using instrumental variables, we estimate that a 10% increase in U.S. foreign affiliate exports to the United States is associated with a 4 percentage point increase in the rate of preferential duty-free access. Restricting attention to the Generalized System of Preferences (GSP) among developing countries, this estimate more than triples, relative to the baseline, full sample results."
472,472,"Are location-specific factors important for understanding firms? heterogeneities? We examine prices and quality metrics for Japanese cars at wholesale auctions, comparing otherwise identical cars assembled in the United States versus Japan. We find similar values regardless of country of assembly. These results indicate that Japanese automakers in general have successfully transferred their practices to their U.S. transplants and that there is no inherent limitation to high-quality automobile production in the United States. Deeper analysis of patterns for Toyota cars, complemented by historical analysis, suggests that although it is possible to transfer standards, quality convergence can require conscious effort and not just cumulative production."
473,473,"We model spatial clusters of similar firms. Our model highlights how agglomerative forces lead to localized, individual connections among firms, while interaction costs generate a defined distance over which attraction forces operate. Overlapping firm interactions yield agglomeration clusters that are much larger than the underlying agglomerative forces themselves. Empirically, we demonstrate that our model?s assumptions are present in the structure of technology and labor flows within Silicon Valley. Our model further identifies how the lengths over which agglomerative forces operate influence the shapes and sizes of industrial clusters; we confirm these predictions using variations across patent technology clusters."
474,474,"Based on two strands of theoretical research, this paper provides new evidence on how fares are jointly affected by in-flight seat availability and purchasing date. As capacity-based theories predict, it emerges that fares monotonically and substantially increase with flight occupancy. After controlling for capacity utilization, our analysis also supports time-based theories, indicating a U-shaped temporal profile over a two-month booking period, as well as a sharp increase in fares in the two weeks prior to departure."
475,475,"This paper examines the factors that give rise to intermediaries in exporting and explores the implications for trade volumes. Export intermediaries such as wholesalers serve different markets and export different products than manufacturing exporters do. Wholesalers are more prevalent in markets with higher destination-specific fixed costs and focus on products that are less differentiated, have lower contract intensity, and have large sunk entry costs. Aggregate exports to destinations with high shares of indirect exports are less responsive to changes in the real exchange rate than are exports to markets served primarily by direct exporters."
476,476,"To identify the causal effect of schooling on cognitive skills, we exploit conditionally random variation in the date Swedish males take a battery of cognitive tests in preparation for military service. We find an extra ten days of school instruction raises scores on crystallized intelligence tests (synonyms and technical comprehension tests) by approximately 1 percent of a standard deviation, whereas extra nonschool days have almost no effect. In contrast, test scores on fluid intelligence tests (spatial and logic tests) do not increase with additional days of schooling but do increase modestly with age."
477,477,"A common assumption is that the rise of drug testing among U.S. employers must have had negative consequences for black employment. I use variation in the timing and nature of drug testing regulation to identify the impacts of testing on black hiring. I find that adoption of protesting legislation increases black employment in the testing sector by 7 percent to 30 percent and relative wages by 1.4 percent to 13.0 percent, with the largest shifts among low-skilled black men. The results are consistent with ex ante discrimination and suggest that drug testing may benefit African Americans by enabling nonusing blacks to prove their status to employers."
478,478,"The Fair Trade (FT) coffee initiative attempts to channel charity from consumers to poor producers via increased prices. We show that the rules of the FT system permit this rent to be eliminated due to free entry and costly excess certification of output. Using data from an association of coffee cooperatives in Central America, we verify that expected producer benefits are close to 0 when we take into account the output that is certified but not sold as FT. Our results illustrate how free entry undermines the attempt at extending charity via a price distortion in an otherwise competitive market."
479,479,We provide firm-level evidence that credit constraints restrict international trade and affect the pattern of multinational activity. We show that foreign affiliates and joint ventures in China have better export performance than private domestic firms in financially more vulnerable sectors. These results are stronger for destinations with higher trade costs and not driven by firm size or other sector characteristics. Our findings are consistent with multinational subsidiaries being less liquidity constrained because they can access foreign capital markets or funding from their parent company. They further suggest that FDI can alleviate the impact of domestic financial market imperfections on trade.
480,480,"This research examines the climatic origins of the diffusion of Neolithic agriculture across countries and archaeological sites. The theory suggests that a foraging society's history of climatic shocks shaped the timing of its adoption of farming. Specifically, as long as climatic disturbances did not lead to a collapse of the underlying resource base, the rate at which hunter-gatherers were climatically propelled to experiment with their habitats determined the accumulation of tacit knowledge complementary to farming. Consistent with the proposed hypothesis, the empirical investigation demonstrates that, conditional on biogeographic endowments, climatic volatility has a hump-shaped effect on the timing of the adoption of agriculture."
481,481,"Using geographically disaggregated data and exploiting an instrumental variable strategy, we show that contrary to conventional wisdom, the benefits of the 1990 Clean Air Act Amendments (CAAA) were progressive. The CAAA created incentives for local regulators to target the initially dirtiest areas for cleanup, creating heterogeneity in the incidence of air quality improvements that favored lower-income households. Based on house price appreciation, households in the lowest quintile of the income distribution received annual benefits from the program equal to 0.3 percent of their income on average during the 1990s, over twice as much as those in the highest quintile."
482,482,"Using a microlevel data set of wind turbine installations in Denmark and Germany, we estimate a structural oligopoly model with cross-border trade and heterogeneous firms. Our approach separately identifies border-related from distance-related variable costs and bounds the fixed cost of exporting for each firm. In the data, firms' market shares drop precipitously at the border. We find that 40 percent to 50 percent of the gap can be attributed to national border costs. Counterfactual analysis indicates that eliminating national border frictions would increase total welfare in the wind turbine industry by 4 percent in Denmark and 6 percent in Germany."
483,483,"While innovation matters for competitiveness, it may expose firms to survival risks. Using plant-product data for Chile and discretetime hazard models, we show that innovating plants have a lower hazard of exit. However, risk has a strong impact on the innovation-exit relationship: only innovators that retain diversified sources of revenue or face lower market risk are less likely to die. Single-product innovators are at greater risk of exiting. Exposure to technical risk does not affect exit probabilities differentially. We provide tentative evidence that singleproduct innovators have higher profits, which helps to rationalize their innovation decision despite the increased risk of exit."
484,484,"Originators seek to mitigate the loss of monopoly power by authorizing generic entry prior to patent expiry. Off-patent competition may be adversely affected if authorized generic entry substantially lowers the attractiveness of subsequent generic entry. This study assesses the impact of authorized generic entry on independent generic entry in recent cases of patent expiry in Germany. The results of a recursive bivariate probit regression, accounting for the endogeneity of authorized generic entry, show that authorized generic entry has no significant effect on the likelihood of generic entry. Business scope expansion and rent-seeking motives drive authorized generic entry decisions."
485,485,"We analyze insurance-pricing regulation under imperfect competition on the Massachusetts health insurance exchange. Differential markups lead to price variation apart from cost variation. Coarse insurer pricing strategies identify consumer demand. Younger consumers are twice as price sensitive as older consumers. Older consumers thus face higher markups over costs. Modified community rating links prices for consumers differing in both costs and preferences, and changes the marginal consumer firms face. Stricter regulations transfer resources from low-cost to high-cost consumers, reduce firm profits, and increase overall consumer surplus."
486,486,"Using estimators of the variation of positive and negative returns (realized semivariances) and high-frequency data for the S&P; 500 Index and 105 individual stocks, this paper sheds new light on the predictability of equity price volatility. We show that future volatility is more strongly related to the volatility of past negative returns than to that of positive returns and that the impact of a price jump on volatility depends on the sign of the jump, with negative (positive) jumps leading to higher (lower) future volatility. We show that models exploiting these findings lead to significantly better out-of-sample forecast performance."
487,487,"This paper presents a new empirical regularity between the volatility of productivity growth and long-run unemployment for a given level of long-run productivity growth. A theoretical framework based on asymmetric real wage rigidities is shown to have the potential to rationalize this finding. The model tends to fit U.S. long-run unemployment better than a specification based on long-run productivity growth only, especially during the Great Moderation and the Great Recession."
488,488,"We link data on racial self-identification with changes in statelevel affirmative action policies to ask whether racial self-identification responds to economic incentives. We find that after a state bans affirmative action, multiracial individuals who face an incentive to identify under affirmative action are about 30% less likely to identify with their minority group. In contrast, multiracial individuals who face a disincentive to identify under affirmative action are roughly 20% more likely to identify with their minority group once affirmative action policies are banned."
489,489,"The introduction of automatic bill payment (ABP) programs in 2005 eliminated the need for consumers to view recurring bills. If those enrolled in ABP programs offered by utilities and other service providers forgo inspection of their recurring bills, then price salience declines, prices perceived by boundedly rational agents fall, and consumption increases. This paper considers the impact of such programs on consumer demand and welfare and empirically tests whether enrollment in such programs increases demand. Results show ABP enrollment increases residential electricity consumption by 4.0% and commercial electricity consumption by as much as 8.1%. Enrollment in programs designed to smooth seasonal variation in monthly utility bills of low-income customers results in 6.7% greater electricity use. © 2015 The President and Fellows of Harvard College and the Massachusetts Institute of Technology"
490,490,"We provide new evidence on consumer demand for ethical products from experiments conducted in a U.S. grocery store chain. We find that sales of the two most popular coffees rose by almost 10% when they carried a Fair Trade label as compared to a generic placebo label. Demand for the higher-priced coffee remained steady when its price was raised by 8%, but demand for the lower-priced coffee was elastic: a 9% price increase led to a 30% decline in sales. While consumers attach value to ethical sourcing, there is significant heterogeneity in willingness to pay for it. © 2015 The President and Fellows of Harvard College and the Massachusetts Institute of Technology"
491,491,"Standard economic models assume that the demand for expert predictions arises only under the conditions in which individuals are uncertain about the underlying process generating the data and there is a strong belief that past performances predict future performances. We set up the strongest possible test of these assumptions. In contrast to the theoretical suggestions made in the literature, people are willing to pay for predictions of truly random outcomes after witnessing only a short streak of accurate predictions live in the lab. We discuss potential explanations and implications of such irrational learning in the contexts of economics and finance. © 2015 The President and Fellows of Harvard College and the Massachusetts Institute of Technology"
492,492,"The preferences assumed to govern intertemporal trade-offs are generally considered to be stable economic primitives, though evidence on this stability is notably lacking. We present evidence from a large field study conducted over two years, with around 1,400 individuals using incentivized intertemporal choice experiments. Aggregate choice profiles and corresponding estimates of discount parameters are unchanged over the two years and individual correlations through time are high by existing standards. However, some individuals show signs of instability. By linking experimental measures to administrative tax records, we show that identified instability is uncorrelated with both levels and changes in sociodemographic variables. © 2015 The President and Fellows of Harvard College and the Massachusetts Institute of Technology"
493,493,"In this essay, we review the basic economics of housing supply and the functioning of US housing markets to better understand the distribution of home prices, household wealth, and the spatial distribution of people across markets. We employ a cost-based approach to gauge whether a housing market is delivering appropriately priced units. Specifically, we investigate whether market prices (roughly) equal the costs of producing the housing unit. If so, the market is well-functioning in the sense that it efficiently delivers housing units at their production cost. The gap between price and production cost can be understood as a regulatory tax. The available evidence suggests, but does not definitively prove, that the implicit tax on development created by housing regulations is higher in many areas than any reasonable negative externalities associated with new construction. We discuss two main effects of developments in housing prices: on patterns of household wealth and on the incentives for relocation to high-wage, high-productivity areas. Finally, we turn to policy implications."
494,494,"For decades, it was taken as a given that an increased homeownership rate was a desirable goal. But after the financial crises and Great Recession, in which roughly eight million homes were foreclosed on and about $7 trillion in home equity was erased, economists and policymakers are re-evaluating the role of homeownership in the American Dream. Many question whether the American Dream should really include homeownership or instead focus more on other aspects of upward mobility, and most acknowledge that homeownership is not for everyone. We take a detailed look at US homeownership from three different perspectives: 1) an international perspective, comparing US homeownership rates with those of other nations; 2) a demographic perspective, examining the correlation between changes in the US homeownership rate between 1985 and 2015 and factors like age, race/ethnicity, education, family status, and income; 3) and, a financial benefits perspective, using national data since 2002 to calculate the internal rate of return to homeownership compared to alternative investments. Our overall conclusion: homeownership is a valuable institution. While two decades of policies in the 1990s and early 2000s may have put too much faith in the benefits of homeownership, the pendulum seems to have swung too far the other way, and many now may have too little faith in homeownership as part of the American Dream."
495,495,"This article focuses on cities with unprecedented economic success and a seemingly permanent crisis of affordable housing. In the expensive cities, policymakers expend great amounts of energy trying to bring down housing costs with subsidies for affordable housing and sometimes with rent control. But these efforts are undermined by planning decisions that make housing for most people vastly more expensive than it has to be by restricting the supply of new units even in the face of growing demand. I begin by describing current housing policy in the expensive metro areas of the United States. I then show how this combination of policies affecting housing, despite internal contradictions, makes sense from the perspective of the political coalitions that can form in a setting of fragmented local jurisdictions, local control over land use policies, and homeowner control over local government. Finally, I propose some more effective approaches to housing policy. My view is that the effects of the formal affordable housing policies of expensive cities are quite small in their impact when compared to the size of the problem?like sand castles before the tide. I will argue that we can do more, potentially much more, to create subsidized affordable housing in high-cost American cities. But more fundamentally, we will need to rethink the broader set of exclusionary land use policies that are the primary reason that housing in these cities has become so expensive. We cannot solve the problem unless we fix the housing market itself."
496,496,"Milton Friedman's presidential address, ""The Role of Monetary Policy,"" which was delivered 50 years ago in December 1967 and published in the March 1968 issue of the American Economic Review, is unusual in the outsized role it has played. What explains the huge influence of this work, merely 17 pages in length? One factor is that Friedman addresses an important topic. Another is that it is written in simple, clear prose, making it an ideal addition to the reading lists of many courses. But what distinguishes Friedman's address is that it invites readers to reorient their thinking in a fundamental way. It was an invitation that, after hearing the arguments, many readers chose to accept. Indeed, it is no exaggeration to view Friedman's 1967 AEA presidential address as marking a turning point in the history of macroeconomic research. Our goal here is to assess this contribution, with the benefit of a half-century of hindsight. We discuss where macroeconomics was before the address, what insights Friedman offered, where researchers and central bankers stand today on these issues, and (most speculatively) where we may be heading in the future."
497,497,"Fifty years ago, Milton Friedman articulated the natural rate hypothesis. It was composed of two sub-hypotheses: First, the natural rate of unemployment is independent of monetary policy. Second, there is no long-run trade-off between the deviation of unemployment from the natural rate and inflation. Both propositions have been challenged. The paper reviews the arguments and the macro and micro evidence against each. It concludes that, in each case, the evidence is suggestive, but not conclusive. Policymakers should keep the natural rate hypothesis as their null hypothesis, but keep an open mind and put some weight on the alternatives."
498,498,"The centerpiece of Milton Friedman's (1968) presidential address to the American Economic Association, delivered in Washington, DC, on December 29, 1967, was the striking proposition that monetary policy has no longer-run effects on the real economy. Friedman focused on two real measures, the unemployment rate and the real interest rate, but the message was broader?in the longer run, monetary policy controls only the price level. We call this the monetary-policy invariance hypothesis. By 1968, macroeconomics had adopted the basic Phillips curve as the favored model of correlations between inflation and unemployment, and Friedman used the Phillips curve in the exposition of the invariance hypothesis. Friedman's presidential address was commonly interpreted as a recommendation to add a previously omitted variable, the rate of inflation anticipated by the public, to the right-hand side of what then became an augmented Phillips curve. We believe that Friedman's main message, the invariance hypothesis about long-term outcomes, has prevailed over the last half-century based on the broad sweep of evidence from many economies over many years. Subsequent research has not been kind to the Phillips curve, but we will argue that Friedman's exposition of the invariance hypothesis in terms of a 1960s-style Phillips curve is incidental to his main message."
499,499,"Exchange-traded funds (ETFs) represent one of the most important financial innovations in decades. An ETF is an investment vehicle, with a specific architecture that typically seeks to track the performance of a specific index. The first US-listed ETF, the SPDR, was launched by State Street in January 1993 and seeks to track the S&P; 500 index. It is still today the largest ETF by far, with assets of $178 billion. Following the introduction of the SPDR, new ETFs were launched tracking broad domestic and international indices, and more specialized sector, region, or country indexes. In recent years, ETFs have grown substantially in assets, diversity, and market significance, including substantial increases in assets in bond ETFs and so-called ""smart beta"" funds that track certain investment strategies often used by actively traded mutual funds and hedge funds. In this paper, we begin by describing the structure and organization of exchange-traded funds, contrasting them with mutual funds, which are close relatives of exchange-traded funds, describing the differences in how ETFs operate and their potential advantages in terms of liquidity, lower expenses, tax efficiency, and transparency. We then turn to concerns over whether the rise in ETFs may raise unexpected risks for investors or greater instability in financial markets. While concerns over financial fragility are worth serious consideration, some of the common concerns are overstated, and for others, a number of rules and practices are already in place that offer a substantial margin of safety."
500,500,"Consumers suffer significant losses from not acting on available information. These losses stem from frictions such as search costs, switching costs, and rational inattention, as well as what we call mental gaps resulting from wrong priors/worldviews, or relevant features of a problem not being top of mind. Most research studying such losses does not empirically distinguish between these mechanisms. Instead, we show that most highly cited papers in this area presume one mechanism underlies consumer choices and assume away other potential explanations, or collapse many mechanisms together. We discuss the empirical difficulties that arise in distinguishing between different mechanisms, and some promising approaches for making progress in doing so. We also assess when it is more or less important for researchers to distinguish between these mechanisms. Approaches that seek to identify true value from demand, without specifying mechanisms behind this wedge, are most useful when researchers are interested in evaluating allocation policies that strongly steer consumers towards better options with regulation, traditional policy instruments, and defaults. On the other hand, understanding the precise mechanisms underlying consumer losses is essential to predicting the impact of mechanism policies aimed primarily at reducing specific frictions or mental gaps without otherwise steering consumers. We make the case that papers engaging with these questions empirically should be clear about whether their analyses distinguish between mechanisms behind poorly informed choices, and what that implies for the questions they can answer. We present examples from several empirical contexts to highlight these distinctions."
501,501,"Using a sample of all academics who pass through top 50 economics and finance departments from 1996 through 2014, we study whether the granting of tenure leads faculty to pursue riskier ideas. We use the extreme tails of ex-post citations as our measure of risk and find that both the number of publications and the portion consisting of ""home runs"" peak at tenure and fall steadily for a decade thereafter. Similar patterns hold for faculty at elite (top 10) institutions and for faculty who take differing time to tenure. We find the opposite pattern among poorly cited publications: their numbers rise post-tenure."
502,502,"This paper addresses two conflicting views in the 1950s and 1960s about the inflation-unemployment tradeoff as given by the Phillips curve. Many economists at this time emphasized the issue of a seemingly unavoidable inflationary pressure at or even below full employment. In contrast, Milton Friedman was convinced that full employment and price stability are not conflicting policy objectives. This dividing line between the two camps ultimately rested on fundamentally different views about the inflationary process: For economists of the 1950s and 1960s cost-push forces are responsible for the apparent conflict between price stability and full employment. On the other hand, Friedman, who regarded inflation to be an exclusively monetary phenomenon, rejected the notion of ongoing inflationary cost-push pressures at full employment. Besides his emphasis on the full adjustment of inflation expectations, this rejection of cost-push theories of inflation, which implied a decoupling of the two previously perceived incompatible policy objectives, was the other important element in Friedman's attack on the Phillips curve tradeoff in his 1967 presidential address to the American Economic Association."
503,503,"The United States has seen a sea change in the way that publicly financed health insurance coverage is provided to low-income, elderly, and disabled enrollees. When programs such as Medicare and Medicaid were introduced in the 1960s, the government directly reimbursed medical providers for the care that they provided, through a classic ""single payer system."" Since the mid-1980s, however, there has been an evolution towards a model where the government subsidizes enrollees who choose among privately provided insurance options. In the United States, privatized delivery of public health insurance appears to be here to stay, with debates now focused on how much to expand its reach. Yet such privatized delivery raises a variety of thorny issues. Will choice among private insurance options lead to adverse selection and market failures in privatized insurance markets? Can individuals choose appropriately over a wide range of expensive and confusing plan options? Will a privatized approach deliver the promised increases in delivery efficiency claimed by advocates? What policy mechanisms have been used, or might be used, to address these issues? A growing literature in health economics has begun to make headway on these questions. In this essay, I discuss that literature and the lessons for both economics more generally and health care policymakers more specifically."
504,504,"Selection (adverse or advantageous) is the central problem that inhibits the smooth, efficient functioning of competitive health insurance markets. Even?and perhaps especially?when consumers are well-informed decision makers and insurance markets are highly competitive and offer choice, such markets may function inefficiently due to risk selection. Selection can cause markets to unravel with skyrocketing premiums and can cause consumers to be under- or overinsured. In its simplest form, adverse selection arises due to the tendency of those who expect to incur high health care costs in the future to be the most motivated purchasers. The costlier enrollees are more likely to become insured rather than to remain uninsured, and conditional on having health insurance, the costlier enrollees sort themselves to the more generous plans in the choice set. These dual problems represent the primary concerns for policymakers designing regulations for health insurance markets. In this essay, we review the theory and evidence concerning selection in competitive health insurance markets and discuss the common policy tools used to address the problems it creates. We emphasize the two markets that seem especially likely to be targets of reform in the short and medium term: Medicare Advantage (the private plan option available under Medicare) and the state-level individual insurance markets."
505,505,"In most health insurance markets in the United States, consumers have substantial choice about their health insurance plan. However additional choice is not an unmixed blessing as it creates challenges related to both consumer confusion and adverse selection. There is mounting evidence that many people have difficulty understanding the value of insurance coverage, like evaluating the relative benefits of lower premiums versus lower deductibles. Also, in most US health insurance markets, people cannot be charged different prices for insurance based on their individual level of health risk. This creates the potential for well-known problems of adverse selection because people will often base the level of health insurance coverage they choose partly on their health status. In this essay, we examine how the forces of consumer confusion and adverse selection interact with each other and with market institutions to affect how valuable it is to have multiple levels of health insurance coverage available in the market."
